Id,predicted
0,1.83E-05
1,1.42E-05
2,0.000310733
3,0.000303659
4,0.001851905
5,0.000372617
6,0.000130454
7,0.000214002
8,0.000261462
9,0.00054217
10,2.98E-05
11,0.00020465
12,0.00065632
13,0.000421326
14,0.001822785
15,0.000450773
16,0.013201851
17,0.001521053
18,0.002051247
19,0.000186111
20,0.000694315
21,0.000136993
22,9.79E-05
23,0.000334084
24,0.000282013
25,0.000431433
26,2.07E-05
27,0.008311487
28,0.000174153
29,0.000973545
30,0.008103178
31,1.91E-05
32,0.000933958
33,0.000114807
34,0.00095709
35,3.44E-05
36,0.00012604
37,3.60E-05
38,0.018164039
39,0.002068519
40,0.002835276
41,0.000112384
42,0.00209739
43,7.76E-05
44,9.99E-05
45,0.000115202
46,1.79E-06
47,0.00032469
48,0.000217314
49,0.001145901
50,0.00066293
51,5.00E-05
52,0.000563054
53,1.28E-05
54,0.001510309
55,3.96E-06
56,0.000147838
57,0.001494749
58,0.000717506
59,0.000504376
60,0.000475075
61,0.000797656
62,0.000566756
63,0.000305421
64,0.000665505
65,0.000611606
66,0.000761278
67,0.000651333
68,0.00014562
69,0.000197371
70,0.001049406
71,0.00017772
72,0.000565678
73,0.000559898
74,0.000664832
75,0.00261333
76,0.00042492
77,0.009101632
78,0.001513947
79,0.005520602
80,0.001432004
81,9.74E-05
82,0.001221595
83,0.002184229
84,0.000513212
85,0.000866395
86,0.00018631
87,0.000272473
88,0.010534093
89,0.002163214
90,0.005507668
91,0.000213648
92,0.001247673
93,0.000536997
94,6.41E-05
95,0.000146583
96,0.001275902
97,0.001826822
98,0.000148101
99,0.001766617
100,0.000119613
101,0.000556924
102,0.000820374
103,0.000188087
104,0.000482636
105,8.25E-05
106,6.00E-05
107,0.001216666
108,0.005250926
109,0.000854053
110,0.001895061
111,0.001895061
112,8.91E-05
113,0.00068646
114,0.000178156
115,6.70E-05
116,0.000194959
117,0.001722439
118,0.000257435
119,0.043093501
120,0.001147244
121,0.000290202
122,0.001510078
123,0.000562254
124,4.19E-05
125,0.000972712
126,5.77E-05
127,0.001034608
128,0.000413723
129,0.000105735
130,0.000178328
131,0.001724988
132,0.000450038
133,0.000273686
134,3.74E-05
135,0.002357997
136,0.001248319
137,6.54E-05
138,0.000569865
139,0.000144492
140,0.000121625
141,0.001006883
142,0.000148157
143,0.000322783
144,1.55E-05
145,0.000369282
146,0.000157096
147,0.008134497
148,0.000563442
149,0.000502489
150,0.003186247
151,4.22E-05
152,0.000389523
153,0.000117925
154,8.33E-05
155,0.000540989
156,0.004317652
157,0.000177255
158,0.000191771
159,0.001354896
160,6.33E-05
161,0.002885602
162,0.000181915
163,3.61E-05
164,0.00239261
165,0.001172903
166,0.000690191
167,0.002000228
168,0.000122288
169,0.000439777
170,0.00049789
171,5.71E-05
172,0.000784382
173,0.000606366
174,0.000723795
175,0.000202204
176,4.08E-05
177,9.57E-05
178,0.000295625
179,0.01227517
180,0.000117533
181,0.000377467
182,0.000424911
183,0.00083432
184,0.000113916
185,7.43E-05
186,8.19E-05
187,0.000299765
188,0.001529733
189,0.001553248
190,6.84E-05
191,0.000663887
192,0.000417812
193,4.77E-05
194,0.001139812
195,0.000478599
196,0.001671913
197,0.000181782
198,0.000130795
199,0.000172388
200,0.000366626
201,0.001089302
202,0.001740525
203,0.000141834
204,0.00036266
205,1.42E-05
206,0.000331827
